condition,run_id,n_total,fold,expert_wss,auto_wss,diff
statins_sub_n803_kfold5,1,803,1,-0.019,0.111,-0.13
statins_sub_n803_kfold5,1,803,2,-0.007,-0.031,0.024
statins_sub_n803_kfold5,1,803,3,0.174,0.267,-0.09300000000000003
statins_sub_n803_kfold5,1,803,4,0.219,0.187,0.032
statins_sub_n803_kfold5,1,803,5,0.362,0.394,-0.03200000000000003
statins_sub_n803_kfold5,2,803,1,0.447,0.211,0.23600000000000002
statins_sub_n803_kfold5,2,803,2,0.062,0.012,0.05
statins_sub_n803_kfold5,2,803,3,0.198,0.099,0.099
statins_sub_n803_kfold5,2,803,4,-0.0,0.006,-0.006
statins_sub_n803_kfold5,2,803,5,0.087,0.05,0.03699999999999999
statins_sub_n803_kfold5,3,803,1,-0.031,-0.044,0.012999999999999998
statins_sub_n803_kfold5,3,803,2,0.099,0.18,-0.08099999999999999
statins_sub_n803_kfold5,3,803,3,0.335,0.068,0.267
statins_sub_n803_kfold5,3,803,4,0.175,0.137,0.03799999999999998
statins_sub_n803_kfold5,3,803,5,0.244,0.331,-0.08700000000000002
statins_sub_n803_kfold5,4,803,1,0.385,0.372,0.013000000000000012
statins_sub_n803_kfold5,4,803,2,0.428,0.167,0.261
statins_sub_n803_kfold5,4,803,3,0.037,0.23,-0.193
statins_sub_n803_kfold5,4,803,4,0.106,0.269,-0.16300000000000003
statins_sub_n803_kfold5,4,803,5,0.225,0.375,-0.15
statins_sub_n803_kfold5,5,803,1,0.323,0.111,0.21200000000000002
statins_sub_n803_kfold5,5,803,2,0.689,0.105,0.584
statins_sub_n803_kfold5,5,803,3,0.062,0.186,-0.124
statins_sub_n803_kfold5,5,803,4,0.637,0.137,0.5
statins_sub_n803_kfold5,5,803,5,0.1,0.069,0.031
statins_sub_n803_kfold5,6,803,1,-0.007,0.037,-0.044
statins_sub_n803_kfold5,6,803,2,0.335,0.198,0.137
statins_sub_n803_kfold5,6,803,3,0.161,0.279,-0.11800000000000002
statins_sub_n803_kfold5,6,803,4,0.294,0.162,0.13199999999999998
statins_sub_n803_kfold5,6,803,5,0.169,0.15,0.019000000000000017
statins_sub_n803_kfold5,7,803,1,0.074,0.273,-0.199
statins_sub_n803_kfold5,7,803,2,0.559,0.689,-0.1299999999999999
statins_sub_n803_kfold5,7,803,3,0.354,0.31,0.043999999999999984
statins_sub_n803_kfold5,7,803,4,0.031,-0.013,0.044
statins_sub_n803_kfold5,7,803,5,-0.0,0.062,-0.062
statins_full_kfold10,1,2744,1,0.245,0.103,0.14200000000000002
